Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
RNF223	RNF223	chr1	-	1070967	1074306	0.0	0.0	0.0
C1orf159	C1orf159	chr1	-	1081823	1116089	1.472416	2.410527	4.315642
LINC01342	LINC01342	chr1	+	1137017	1144054	0.0	0.0	0.0
MIR200B	MIR200B	chr1	+	1167104	1167198	0.0	0.0	0.0
MIR200A	MIR200A	chr1	+	1167863	1167952	0.0	0.0	0.0
MIR429	MIR429	chr1	+	1169005	1169087	0.0	0.0	0.0
TTLL10	TTLL10	chr1	+	1173880	1197935	0.0	0.0	0.0
TNFRSF18	TNFRSF18	chr1	-	1203508	1206592	0.0	0.0	0.0
TNFRSF4	TNFRSF4	chr1	-	1211340	1214153	0.0	0.0	0.0
SDF4	SDF4	chr1	-	1216931	1232001	10.347518	13.281503	23.778286
B3GALT6	B3GALT6	chr1	+	1232237	1235040	2.485290	3.070530	5.497266
C1QTNF12	C1QTNF12	chr1	-	1242453	1246722	0.000000	0.000000	0.000000
UBE2J2	UBE2J2	chr1	-	1253912	1273854	0.390234	0.517658	0.926780
SCNN1D	SCNN1D	chr1	+	1280436	1292029	0.000000	0.000000	0.000000
ACAP3	ACAP3	chr1	-	1292391	1307930	0.628608	0.776634	1.390431
MIR6726	MIR6726	chr1	-	1296110	1296170	0.000000	0.000000	0.000000
SNORD167	SNORD167	chr1	-	1304729	1304812	0.000000	0.000000	0.000000
PUSL1	PUSL1	chr1	+	1308580	1311677	5.076558	6.271995	11.228947
INTS11	INTS11	chr1	-	1311585	1324687	10.182505	12.580297	22.522900
MIR6727	MIR6727	chr1	-	1312502	1312566	0.000000	0.000000	0.000000
CPTP	CPTP	chr1	+	1324802	1328896	6.840035	8.450737	15.129619
TAS1R3	TAS1R3	chr1	+	1331280	1335314	0.000000	0.000000	0.000000
DVL1	DVL1	chr1	-	1335278	1349418	4.327925	5.347072	9.573030
MIR6808	MIR6808	chr1	-	1339650	1339708	0.000000	0.000000	0.000000
MXRA8	MXRA8	chr1	-	1352689	1363541	0.251855	0.548803	0.982540
AURKAIP1	AURKAIP1	chr1	-	1373736	1375207	104.042633	145.471619	260.442352
CCNL2	CCNL2	chr1	-	1385711	1399342	0.249671	0.311334	0.557391
MRPL20-AS1	MRPL20-AS1	chr1	+	1399530	1402046	0.295767	0.365415	0.654213
MRPL20	MRPL20	chr1	-	1401909	1407293	82.983223	102.524246	183.552353
ANKRD65	ANKRD65	chr1	-	1418420	1421444	0.0	0.0	0.0
TMEM88B	TMEM88B	chr1	+	1426128	1427787	0.261134	0.322626	0.577608
LINC01770	LINC01770	chr1	-	1430157	1434573	0.118090	0.145898	0.261206
VWA1	VWA1	chr1	+	1435690	1442882	0.096171	0.118818	0.212723
ATAD3C	ATAD3C	chr1	+	1449689	1470162	0.000000	0.000000	0.000000
ATAD3B	ATAD3B	chr1	+	1471765	1497848	6.432498	9.271168	16.598461
ATAD3A	ATAD3A	chr1	+	1512162	1534687	3.717016	10.687387	19.133961
TMEM240	TMEM240	chr1	-	1534778	1540624	0.0	0.0	0.0
SSU72	SSU72	chr1	-	1541673	1574863	106.866028	132.031021	236.379242
FNDC10	FNDC10	chr1	-	1598012	1600135	0.923258	1.140668	2.042174
LOC105378586	LOC105378586	chr1	+	1599433	1607210	0.000000	0.000000	0.000000
MIB2	MIB2	chr1	+	1615415	1630610	0.033286	0.053633	0.096022
MMP23B	MMP23B	chr1	+	1632173	1634654	0.0	0.0	0.0
MMP23A	MMP23A	chr1	+	1632780	1701808	0.0	0.0	0.0
CDK11B	CDK11B	chr1	-	1635225	1659004	1.327648	1.661335	2.974339
SLC35E2B	SLC35E2B	chr1	-	1661478	1692795	0.134986	0.166773	0.298578
CDK11A	CDK11A	chr1	-	1702379	1724357	3.310152	4.167517	7.461235
SLC35E2A	SLC35E2A	chr1	-	1724838	1745999	0.047184	0.087646	0.156916
NADK	NADK	chr1	-	1751232	1780031	0.319970	0.790906	1.415984
GNB1	GNB1	chr1	-	1785285	1891117	4.333385	5.408183	9.682438
LOC105378949	LOC105378949	chr1	+	1891180	1892726	0.674184	0.832942	1.491242
CALML6	CALML6	chr1	+	1915260	1917296	0.000000	0.000000	0.000000
TMEM52	TMEM52	chr1	-	1917591	1919279	0.000000	0.000000	0.000000
CFAP74	CFAP74	chr1	-	1921957	2003786	0.0	0.0	0.0
GABRD	GABRD	chr1	+	2019345	2030758	0.000000	0.000000	0.000000
LOC105378591	LOC105378591	chr1	-	2049201	2050070	0.000000	0.000000	0.000000
PRKCZ	PRKCZ	chr1	+	2050411	2185399	0.094137	3.144987	5.630567
PRKCZ-AS1	PRKCZ-AS1	chr1	-	2181794	2183875	0.000000	0.000000	0.000000
FAAP20	FAAP20	chr1	-	2184460	2212720	5.750329	25.832737	46.249153
LOC112268219	LOC112268219	chr1	+	2189798	2192458	0.035325	0.043643	0.078136
SKI	SKI	chr1	+	2228319	2310213	0.369555	0.456578	0.817427
MORN1	MORN1	chr1	-	2321253	2391554	0.541596	3.342010	5.983305
LOC100129534	LOC100129534	chr1	-	2350415	2352661	0.020917	0.025843	0.046267
RER1	RER1	chr1	+	2391841	2405436	22.757957	28.117039	50.338810
PEX10	PEX10	chr1	-	2403974	2413827	0.150352	0.196906	0.352527
PLCH2	PLCH2	chr1	+	2467451	2505532	0.000000	0.000000	0.000000
PANK4	PANK4	chr1	-	2508537	2526596	0.000000	0.000000	0.000000
HES5	HES5	chr1	-	2528745	2530263	0.0	0.0	0.0
TNFRSF14-AS1	TNFRSF14-AS1	chr1	-	2549920	2557011	0.000000	0.000000	0.000000
TNFRSF14	TNFRSF14	chr1	+	2556365	2565622	0.000000	0.000000	0.000000
LOC100996583	LOC100996583	chr1	+	2566535	2584534	0.0	0.0	0.0
PRXL2B	PRXL2B	chr1	+	2586523	2591468	0.170515	0.228041	0.408270
MMEL1	MMEL1	chr1	-	2590640	2633016	0.000000	0.000000	0.000000
TTC34	TTC34	chr1	-	2641269	2800868	0.000000	0.000000	0.000000
ACTRT2	ACTRT2	chr1	+	3021467	3022903	0.0	0.0	0.0
PRDM16-DT	PRDM16-DT	chr1	-	3059617	3067725	0.0	0.0	0.0
PRDM16	PRDM16	chr1	+	3069203	3438621	0.005404	0.006677	0.011953
MIR4251	MIR4251	chr1	+	3127975	3128035	0.000000	0.000000	0.000000
ARHGEF16	ARHGEF16	chr1	+	3454665	3481113	0.000000	0.000000	0.000000
MEGF6	MEGF6	chr1	-	3487951	3611508	0.003628	0.004482	0.008025
MIR551A	MIR551A	chr1	-	3560696	3560790	0.000000	0.000000	0.000000
TPRG1L	TPRG1L	chr1	+	3625015	3630127	2.629997	3.249313	5.817346
WRAP73	WRAP73	chr1	-	3630770	3650103	0.000000	0.000000	0.000000
TP73	TP73	chr1	+	3652516	3736201	0.006389	0.033552	0.060069
TP73-AS1	TP73-AS1	chr1	-	3735984	3747373	0.174945	0.224615	0.402136
CCDC27	CCDC27	chr1	+	3752450	3771645	0.0	0.0	0.0
SMIM1	SMIM1	chr1	+	3772749	3775956	0.000000	0.000000	0.000000
LRRC47	LRRC47	chr1	-	3778559	3796498	3.868590	4.779572	8.557016
CEP104	CEP104	chr1	-	3812086	3857211	1.651075	2.039873	3.652048
DFFB	DFFB	chr1	+	3857267	3885429	0.253824	0.875629	1.567666
C1orf174	C1orf174	chr1	-	3889133	3900272	5.828319	7.200781	12.891783
LINC01134	LINC01134	chr1	+	3900404	3915447	0.000000	0.000000	0.000000
LINC01346	LINC01346	chr1	+	3940612	3952583	0.0	0.0	0.0
LINC01345	LINC01345	chr1	-	3947149	3948980	0.0	0.0	0.0
LINC01777	LINC01777	chr1	+	4412051	4424684	0.0	0.0	0.0
LINC01646	LINC01646	chr1	+	4571487	4583704	0.0	0.0	0.0
AJAP1	AJAP1	chr1	+	4654609	4792522	0.0	0.0	0.0
MIR4689	MIR4689	chr1	-	5862672	5862741	0.0	0.0	0.0
NPHP4	NPHP4	chr1	-	5862811	5992425	0.085559	0.105763	0.189352
KCNAB2	KCNAB2	chr1	+	5992676	6101180	0.000000	0.000000	0.000000
CHD5	CHD5	chr1	-	6101787	6180321	0.021227	0.026226	0.046952
RPL22	RPL22	chr1	-	6185020	6199595	414.439301	512.032166	916.707092
RNF207-AS1	RNF207-AS1	chr1	-	6204840	6205780	0.000000	0.000000	0.000000
RNF207	RNF207	chr1	+	6206119	6221299	1.100733	1.359936	2.434735
ICMT	ICMT	chr1	-	6221193	6235964	4.263939	5.268018	9.431498
LINC00337	LINC00337	chr1	+	6236240	6239442	0.000000	0.000000	0.000000
HES3	HES3	chr1	+	6244179	6245578	0.0	0.0	0.0
GPR153	GPR153	chr1	-	6247353	6261098	0.067175	0.082993	0.148586
ACOT7	ACOT7	chr1	-	6264272	6393767	19.233730	31.074434	55.633526
HES2	HES2	chr1	-	6415234	6419919	0.000000	0.000000	0.000000
ESPN	ESPN	chr1	+	6424776	6460944	0.000000	0.000000	0.000000
MIR4252	MIR4252	chr1	-	6429834	6429896	0.000000	0.000000	0.000000
TNFRSF25	TNFRSF25	chr1	-	6460786	6466195	0.000000	0.000000	0.000000
PLEKHG5	PLEKHG5	chr1	-	6466092	6520092	0.595444	1.090068	1.951583
NOL9	NOL9	chr1	-	6521347	6554513	3.577933	4.420471	7.914106
TAS1R1	TAS1R1	chr1	+	6555307	6579755	0.0	0.0	0.0
ZBTB48	ZBTB48	chr1	+	6579994	6589280	1.659491	2.078176	3.720624
KLHL21	KLHL21	chr1	-	6590724	6602869	0.228184	0.281917	0.504725
PHF13	PHF13	chr1	+	6613731	6624030	1.912553	2.362924	4.230417
THAP3	THAP3	chr1	+	6624865	6635586	0.000000	0.000000	0.000000
DNAJC11	DNAJC11	chr1	-	6634170	6701816	0.000000	0.000000	0.000000
LINC01672	LINC01672	chr1	+	6724745	6730012	0.0	0.0	0.0
CAMTA1-DT	CAMTA1-DT	chr1	-	6783892	6784980	1.933522	2.388831	4.276798
CAMTA1	CAMTA1	chr1	+	6785324	7769706	0.180036	22.734682	40.702606
CAMTA1-AS2	CAMTA1-AS2	chr1	-	7382487	7389754	0.000000	0.000000	0.000000
VAMP3	VAMP3	chr1	+	7771296	7781432	15.931789	19.683434	35.239864
PER3	PER3	chr1	+	7784291	7845177	0.442769	0.560052	1.002679
UTS2	UTS2	chr1	-	7847612	7853491	0.0	0.0	0.0
TNFRSF9	TNFRSF9	chr1	-	7915871	7940839	0.000000	0.000000	0.000000
PARK7	PARK7	chr1	+	7961654	7985505	279.394867	437.877014	783.944824
ERRFI1	ERRFI1	chr1	-	8011727	8026309	50.670967	62.603050	112.080193
LINC01714	LINC01714	chr1	+	8208672	8215208	0.0	0.0	0.0
SLC45A1	SLC45A1	chr1	+	8318114	8344165	0.000000	0.000000	0.000000
RERE	RERE	chr1	-	8352404	8817640	1.328459	1.695770	3.035990
RERE-AS1	RERE-AS1	chr1	+	8424645	8435016	0.000000	0.000000	0.000000
SNORD128	SNORD128	chr1	-	8494800	8494913	0.000000	0.000000	0.000000
ENO1	ENO1	chr1	-	8861000	8878686	493.312164	866.513245	1551.345581
MIR6728	MIR6728	chr1	-	8866502	8866590	0.000000	0.000000	0.000000
ENO1-AS1	ENO1-AS1	chr1	+	8878835	8879884	0.000000	0.000000	0.000000
CA6	CA6	chr1	+	8945868	8975089	0.0	0.0	0.0
SLC2A7	SLC2A7	chr1	-	9003300	9026345	0.0	0.0	0.0
SLC2A5	SLC2A5	chr1	-	9035106	9072259	0.000000	0.000000	0.000000
GPR157	GPR157	chr1	-	9100305	9129102	0.018087	0.022346	0.040007
MIR34AHG	MIR34AHG	chr1	-	9148011	9182338	0.000000	0.000000	0.000000
MIR34A	MIR34A	chr1	-	9151668	9151777	0.000000	0.000000	0.000000
LNCTAM34A	LNCTAM34A	chr1	+	9182204	9192085	0.000000	0.000000	0.000000
H6PD	H6PD	chr1	+	9234774	9271335	0.274670	0.527782	0.944904
SPSB1	SPSB1	chr1	+	9292894	9369531	0.151369	0.187014	0.334816
LINC02606	LINC02606	chr1	-	9425094	9428996	0.265776	0.338783	0.606533
SLC25A33	SLC25A33	chr1	+	9539465	9585173	0.027598	0.034097	0.061045
TMEM201	TMEM201	chr1	+	9588911	9614877	0.094116	0.196545	0.351881
PIK3CD	PIK3CD	chr1	+	9651731	9729114	0.432986	0.711682	1.274146
PIK3CD-AS1	PIK3CD-AS1	chr1	-	9652610	9654586	0.000000	0.000000	0.000000
PIK3CD-AS2	PIK3CD-AS2	chr1	-	9672426	9687574	13.223382	29.474730	52.769527
CLSTN1	CLSTN1	chr1	-	9728926	9824526	0.838940	1.061429	1.900310
CTNNBIP1	CTNNBIP1	chr1	-	9848276	9910269	4.584349	5.663879	10.140219
LZIC	LZIC	chr1	-	9922118	9943391	2.720733	4.501111	8.058478
NMNAT1	NMNAT1	chr1	+	9942923	9985498	0.360685	3.920355	7.018734
TMEM274P	TMEM274P	chr1	-	9950572	9960787	0.000000	0.000000	0.000000
MIR5697	MIR5697	chr1	+	9967381	9967458	0.000000	0.000000	0.000000
RBP7	RBP7	chr1	+	9997228	10016021	0.0	0.0	0.0
UBE4B	UBE4B	chr1	+	10032958	10181238	0.934433	1.154475	2.066892
KIF1B	KIF1B	chr1	+	10210570	10381603	0.806244	3.482493	6.234816
RNU6-1	RNU6-1	chr1	+	10298966	10299070	0.000000	0.000000	0.000000
RNU6-2	RNU6-2	chr1	+	10298966	10299070	0.085714	0.105898	0.189593
RNU6-7	RNU6-7	chr1	+	10298966	10299070	0.000000	0.000000	0.000000
RNU6-8	RNU6-8	chr1	+	10298966	10299070	0.000000	0.000000	0.000000
RNU6-9	RNU6-9	chr1	+	10298966	10299070	0.000000	0.000000	0.000000
PGD	PGD	chr1	+	10399064	10420511	14.106137	19.002382	34.020557
CENPS	CENPS	chr1	+	10430433	10442808	0.094071	0.326911	0.585279
CENPS-CORT	CENPS-CORT	chr1	+	10430433	10452153	2.234121	7.950503	14.234034
CORT	CORT	chr1	+	10450031	10451998	0.000000	0.000000	0.000000
DFFA	DFFA	chr1	-	10456522	10472529	1.244498	1.919108	3.435839
PEX14	PEX14	chr1	+	10474950	10630758	0.365765	0.451896	0.809043
CASZ1	CASZ1	chr1	-	10636606	10796646	0.191502	0.254195	0.455094
C1orf127	C1orf127	chr1	-	10946473	10982037	0.000000	0.000000	0.000000
TARDBP	TARDBP	chr1	+	11012654	11025492	19.442028	24.020269	43.004234
MASP2	MASP2	chr1	-	11026523	11047239	0.000000	0.000000	0.000000
SRM	SRM	chr1	-	11054590	11060018	51.394562	63.497036	113.680717
EXOSC10	EXOSC10	chr1	-	11066619	11099869	2.174602	2.686681	4.810049
EXOSC10-AS1	EXOSC10-AS1	chr1	+	11099675	11102106	0.046188	0.244682	0.438062
MTOR	MTOR	chr1	-	11106535	11262551	0.226006	0.279226	0.499907
MTOR-AS1	MTOR-AS1	chr1	+	11143898	11149538	0.000000	0.000000	0.000000
ANGPTL7	ANGPTL7	chr1	+	11189355	11195981	0.000000	0.000000	0.000000
UBIAD1	UBIAD1	chr1	+	11273198	11299571	0.459968	0.840003	1.503883
DISP3	DISP3	chr1	+	11479155	11537551	0.000000	0.000000	0.000000
LINC01647	LINC01647	chr1	+	11609531	11613354	0.000000	0.000000	0.000000
FBXO2	FBXO2	chr1	-	11648387	11654429	6.891491	8.514312	15.243438
FBXO44	FBXO44	chr1	+	11654407	11663327	2.729023	4.037865	7.229116
FBXO6	FBXO6	chr1	+	11664200	11674352	3.704973	4.577426	8.195108
MAD2L2	MAD2L2	chr1	-	11674480	11691621	31.169138	46.152164	82.627663
DRAXIN	DRAXIN	chr1	+	11691710	11725857	0.000000	0.000000	0.000000
AGTRAP	AGTRAP	chr1	+	11736085	11750771	0.660937	0.816576	1.461941
C1orf167	C1orf167	chr1	+	11762193	11789585	0.000000	0.000000	0.000000
C1orf167-AS1	C1orf167-AS1	chr1	-	11777077	11779619	0.000000	0.000000	0.000000
MTHFR	MTHFR	chr1	-	11785726	11805964	0.025796	0.032229	0.057700
CLCN6	CLCN6	chr1	+	11806096	11843144	0.932588	1.157467	2.072249
NPPA-AS1	NPPA-AS1	chr1	+	11840319	11847616	0.000000	0.000000	0.000000
NPPA	NPPA	chr1	-	11845710	11847783	0.000000	0.000000	0.000000
NPPB	NPPB	chr1	-	11857464	11858945	0.0	0.0	0.0
RNU5E-1	RNU5E-1	chr1	+	11908154	11908272	13.415966	16.575180	29.675060
KIAA2013	KIAA2013	chr1	-	11919591	11926427	2.853342	3.525252	6.311368
PLOD1	PLOD1	chr1	+	11934717	11975537	0.555021	0.685718	1.227663
MFN2	MFN2	chr1	+	11980181	12013515	6.250785	8.155743	14.601480
MIIP	MIIP	chr1	+	12019498	12032045	10.362582	12.802780	22.921215
MIR6729	MIR6729	chr1	+	12029158	12029222	0.000000	0.000000	0.000000
TNFRSF8	TNFRSF8	chr1	+	12063303	12144207	0.055352	0.068386	0.122434
MIR7846	MIR7846	chr1	+	12166943	12167038	4.427083	5.469580	9.792359
TNFRSF1B	TNFRSF1B	chr1	+	12166991	12209220	0.000000	0.000000	0.000000
MIR4632	MIR4632	chr1	+	12191713	12191773	0.000000	0.000000	0.000000
VPS13D	VPS13D	chr1	+	12230030	12512046	0.261482	0.323056	0.578378
SNORA59A	SNORA59A	chr1	+	12507246	12507397	0.000000	0.000000	0.000000
SNORA59B	SNORA59B	chr1	+	12507246	12507397	0.000000	0.000000	0.000000
DHRS3	DHRS3	chr1	-	12567910	12618210	2.404706	4.013416	7.185344
MIR6730	MIR6730	chr1	-	12578957	12579023	0.000000	0.000000	0.000000
AADACL4	AADACL4	chr1	+	12644085	12667076	0.0	0.0	0.0
AADACL3	AADACL3	chr1	+	12716110	12728760	0.0	0.0	0.0
C1orf158	C1orf158	chr1	+	12746200	12763699	0.0	0.0	0.0
PRAMEF12	PRAMEF12	chr1	+	12773738	12777905	0.0	0.0	0.0
PRAMEF1	PRAMEF1	chr1	+	12791397	12796628	0.0	0.0	0.0
LINC01784	LINC01784	chr1	-	12822686	12823223	0.0	0.0	0.0
PRAMEF11	PRAMEF11	chr1	-	12824605	12831410	0.0	0.0	0.0
HNRNPCL1	HNRNPCL1	chr1	-	12847377	12848720	0.000000	0.000000	0.000000
PRAMEF2	PRAMEF2	chr1	+	12857086	12861909	0.0	0.0	0.0
PRAMEF4	PRAMEF4	chr1	-	12879212	12886201	0.0	0.0	0.0
PRAMEF10	PRAMEF10	chr1	-	12892896	12898270	0.0	0.0	0.0
PRAMEF7	PRAMEF7	chr1	+	12916647	12920480	0.0	0.0	0.0
PRAMEF6	PRAMEF6	chr1	-	12938472	12947580	0.0	0.0	0.0
PRAMEF27	PRAMEF27	chr1	-	13049476	13179464	0.0	0.0	0.0
HNRNPCL3	HNRNPCL3	chr1	+	13060769	13166023	0.0	0.0	0.0
HNRNPCL4	HNRNPCL4	chr1	+	13061161	13165631	0.0	0.0	0.0
PRAMEF25	PRAMEF25	chr1	+	13073678	13153111	0.0	0.0	0.0
PRAMEF26	PRAMEF26	chr1	+	13073678	13153111	0.0	0.0	0.0
PRAMEF34P	PRAMEF34P	chr1	-	13094515	13132274	0.0	0.0	0.0
PRAMEF36P	PRAMEF36P	chr1	-	13094515	13132274	0.0	0.0	0.0
HNRNPCL2	HNRNPCL2	chr1	-	13115488	13116854	0.0	0.0	0.0
PRAMEF9	PRAMEF9	chr1	+	13175281	13179132	0.0	0.0	0.0
PRAMEF13	PRAMEF13	chr1	-	13196188	13201409	0.0	0.0	0.0
PRAMEF18	PRAMEF18	chr1	-	13222695	13226154	0.0	0.0	0.0
PRAMEF22	PRAMEF22	chr1	-	13223332	13226112	0.0	0.0	0.0
PRAMEF5	PRAMEF5	chr1	+	13254177	13263435	0.0	0.0	0.0
PRAMEF8	PRAMEF8	chr1	-	13281304	13285137	0.0	0.0	0.0
PRAMEF33	PRAMEF33	chr1	+	13303539	13308907	0.0	0.0	0.0
PRAMEF15	PRAMEF15	chr1	+	13315581	13322598	0.0	0.0	0.0
PRAMEF14	PRAMEF14	chr1	-	13341892	13347134	0.0	0.0	0.0
PRAMEF19	PRAMEF19	chr1	-	13368442	13371999	0.0	0.0	0.0
PRAMEF17	PRAMEF17	chr1	+	13389632	13392629	0.0	0.0	0.0
PRAMEF20	PRAMEF20	chr1	+	13410450	13421328	0.0	0.0	0.0
LRRC38	LRRC38	chr1	-	13474973	13514003	0.0	0.0	0.0
PDPN	PDPN	chr1	+	13583757	13617957	0.0	0.0	0.0
PRDM2	PRDM2	chr1	+	13700188	13825079	0.691296	2.101406	3.762213
KAZN-AS1	KAZN-AS1	chr1	-	14348955	14419973	0.0	0.0	0.0
KAZN	KAZN	chr1	+	14598685	15118043	0.000000	0.000000	0.000000
TMEM51-AS1	TMEM51-AS1	chr1	-	15111815	15152464	0.000000	0.000000	0.000000
TMEM51	TMEM51	chr1	+	15152532	15220478	0.096341	3.557401	6.368927
C1orf195	C1orf195	chr1	-	15164192	15171624	0.000000	0.000000	0.000000
FHAD1	FHAD1	chr1	+	15247225	15398127	0.000000	0.000000	0.000000
FHAD1-AS1	FHAD1-AS1	chr1	-	15326680	15343883	0.000000	0.000000	0.000000
EFHD2	EFHD2	chr1	+	15409888	15430339	37.905502	46.831551	83.843987
CTRC	CTRC	chr1	+	15438443	15449242	0.0	0.0	0.0
CELA2A	CELA2A	chr1	+	15456732	15472091	0.0	0.0	0.0
CELA2B	CELA2B	chr1	+	15476104	15491394	0.0	0.0	0.0
CASP9	CASP9	chr1	-	15491401	15524790	2.440678	3.217999	5.761283
DNAJC16	DNAJC16	chr1	+	15526813	15571733	0.277409	0.344649	0.617035
SCARNA21B	SCARNA21B	chr1	+	15542166	15542304	0.000000	0.000000	0.000000
AGMAT	AGMAT	chr1	-	15571699	15585051	0.000000	0.000000	0.000000
DDI2	DDI2	chr1	+	15617458	15669044	0.726260	0.897281	1.606430
RSC1A1	RSC1A1	chr1	+	15659713	15662030	0.384383	0.474898	0.850225
PLEKHM2	PLEKHM2	chr1	+	15684320	15734769	1.591044	1.965706	3.519264
SLC25A34	SLC25A34	chr1	+	15736258	15741392	0.000000	0.000000	0.000000
SLC25A34-AS1	SLC25A34-AS1	chr1	-	15740051	15749890	0.000000	0.000000	0.000000
TMEM82	TMEM82	chr1	+	15742499	15747982	0.000000	0.000000	0.000000
FBLIM1	FBLIM1	chr1	+	15756638	15786589	0.014633	0.049574	0.088753
UQCRHL	UQCRHL	chr1	-	15807162	15807699	3.666357	4.529716	8.109693
FLJ37453	FLJ37453	chr1	-	15834215	15848147	2.607797	3.221885	5.768241
SPEN	SPEN	chr1	+	15847707	15940456	2.101009	2.595758	4.647266
ZBTB17	ZBTB17	chr1	-	15941869	15976132	0.134574	0.167583	0.300029
SRARP	SRARP	chr1	+	16004236	16008807	0.0	0.0	0.0
HSPB7	HSPB7	chr1	-	16014029	16019594	0.0	0.0	0.0
CLCNKA	CLCNKA	chr1	+	16022036	16034050	0.0	0.0	0.0
CLCNKB	CLCNKB	chr1	+	16043782	16057326	0.0	0.0	0.0
FAM131C	FAM131C	chr1	-	16057769	16073651	0.000000	0.000000	0.000000
EPHA2	EPHA2	chr1	-	16124337	16156069	0.671035	0.829051	1.484277
ARHGEF19	ARHGEF19	chr1	-	16197854	16212652	0.000000	0.000000	0.000000
CPLANE2	CPLANE2	chr1	-	16231692	16237183	3.540275	4.373946	7.830812
FBXO42	FBXO42	chr1	-	16246840	16352480	1.901893	2.349754	4.206838
SZRD1	SZRD1	chr1	+	16367242	16398145	27.353460	34.724380	62.168140
SPATA21	SPATA21	chr1	-	16395681	16437424	0.000000	0.000000	0.000000
NECAP2	NECAP2	chr1	+	16440672	16460089	0.745315	0.949570	1.700045
LINC01772	LINC01772	chr1	+	16460948	16468481	0.000000	0.000000	0.000000
CROCCP3	CROCCP3	chr1	-	16467436	16492701	0.043778	0.054087	0.096833
RNU1-1	RNU1-1	chr1	-	16514122	16514285	0.201927	0.249477	0.446647
RNU1-2	RNU1-2	chr1	-	16514122	16514285	0.042149	0.052074	0.093230
RNU1-3	RNU1-3	chr1	-	16514122	16514285	0.001836	0.002268	0.004061
